Year,City,State,,,,,
1970, Minneapolis, Minnesota,,,,,
1970, Highland Park, Illinois,,,,,
1970, East Lansing, Michigan,,,,,
1970, Kailua, Hawaii,,,,,
1970, Golden Valley, Minnesota,,,,,
1970, Laconia, New Hampshire,,,,,
1970, Pelham, New York,,,,,
1970, Framingham, Massachusetts,,,,,
1970, Billings, Montana,,,,,
1970, Gambler, Ohio,,,,,
1970, Winona, Minnesota,,,,,
1970, Savannah, Georgia,,,,, 
1970, Morganton, North Carolina,,,,,
1970, Santa Ana, California,,,,,
1970, Overland Park, Kansas,,,,,
1970, New York, New York,,,,,
1970, Highland Park, Illinois,,,,,
1970, Chicago, Illinois,,,,,
1970, Bethesda, Maryland,,,,,
1970, Rochester, Minnesota,,,,,
1970, Honolulu, Hawaii,,,,,
1970, Springfield, Illinois,,,,,
1970, Oneonta, New York,,,,,
1970,St. Paul,Minnesota,,,,, 
1970, Edina, Minnesota,,,,,
1970, Columbia, Missouri,,,,,
1970, Edina, Minnesota,,,,,
1970, Dawson, Minnesota,,,,,
1970, Wilmington, Delaware,,,,,
1970, Minneapolis, Minnesota,,,,, 
1970, Richfield, Minnesota,,,,,
1970, Chicago, Illinois,,,,,
1970, Minneapolis, Minnesota,,,,,
1970, Silver Spring, Maryland,,,,,
1970, Kinnelon, New Jersey,,,,,
1970, Kankakee, Illinois,,,,,
1970, Gary, Illinois,,,,,
1970, Bethesda, Maryland,,,,,
1970, Lake Zurich, Illinois,,,,,
1970, Kirkwood, Missouri,,,,,
1970, Midland, Michigan,,,,,
1970, Chadds Ford, Pennsylvania,,,,,
1970, Portland, Oregon,,,,,
1970, Carmel, California,,,,,
1970, Bethesda, Maryland,,,,,
1970, Honolulu, Hawaii,,,,,
1970, Wilmette, Illinois,,,,,
1970, Park Rapids, Minnesota,,,,,
1970, Yokohama, Japan,,,, ,
1970, Los Angeles, California,,,,,
1970, Red Wing, Minnesota,,,,,
1970, South Bend, Indiana,,,,,
1970, Minneapolis, Minnesota,,,,,
1970, Chicago, Illinois,,,,,
1970, Seattle, Washington,,,,,
1970, Naperville, Illinois,,,,,
1970, Thief River Falls, Minnesota,,,,,
1970, Miami Beach, Florida,,,,,
1970, Lexington, Kentucky,,,,,
1970, Albany, Georgia,,,,,
1970, Moorhead, Minnesota,,,,,
1970, Elk Grove Village, Illinois,,,,,
1970, Moorhead, Minnesota,,,,,
1970, Des Plaines, Illinois,,,,,
1970, Cleveland Heights, Ohio,,,,,
1970, Richmond, Indiana,,,,,
1970, Oak Park, Illinois,,,,,
1970, Burnsville, Minnesota,,,,,
1970, New York, New York,,,,,
1970, Chappaqua, New York,,,,,
1970, Williamsburg, Iowa,,,,,
1970, Waterloo, Iowa,,,,,
1970, Auburndale, Massachusetts,,,,,
1970, Freeport, Illinois,,,,,
1970, Minnetonka, Minnesota,,,,,
1970, Minneapolis, Minnesota,,,,,
1970, Nashville, Tennessee,,,,,
1970, Albert Lea, Minnesota,,,,,
1970, Helena, Montana,,,,,
1970, Philadelphia, Pennsylvania,,,,,
1970, Elmhurst, Illinois,,,,,
1970, Omaha, Nebraska,,,,,
1970, Elgin, Illinois,,,,,
1970, Denver, Colorado,,,,,
1970, Wichita, Kansas,,,,,
1970, Edina, Minnesota,,,,,
1970, Omaha, Nebraska,,,,,
1970, Rockton, Illinois,,,,,
1970, Athens, Georgia,,,,,
1970, Reston, Virginia,,,,,
1970, Silver Spring, Maryland,,,,,
1970, London, England,,,,,
1970, Chicago, Illinois,,,, ,
1970, Schenectady, New York,,,,,
1970,St. Louis,Missouri,,,, ,
1970, Minneapolis, Minnesota,,,,,
1970, Silver Spring, Maryland,,,,,
1970, Bellevue, Washington,,,,,
1970,St. Paul,Minnesota,,,,, 
1970, Bethesda, Maryland,,,,,
1970, Chagrin Falls, Ohio,,,,,
1970, Fridley, Minnesota,,,,,
1970,St. Louis Park,Minnesota,,,,, 
1970, Key West, Florida,,,,,
1970, Bloomington, Minnesota,,,,,
1970, Fort Dodge, Iowa,,,,,
1970, Freeport, New York,,,,,
1970, Wilmette, Illinois,,,,,
1970, New Orleans, Louisiana,,,,,
1970, Kirkwood, Missouri,,,,,
1970, Palatine, Illinois,,,,,
1970, White Bear Lake, Minnesota,,,,,
1970, Springfield, Virginia,,,,,
1970, Golden Valley, Minnesota,,,,,
1970, Moline, Illinois,,,,,
1970, Rochester, Minnesota,,,,,
1970, Rock Island, Illinois,,,,,
1970, Grosse Pointe, Michigan,,,,,
1970, Wauwatosa, Wisconsin,,,,,
1970, Holyoke, Massachusetts,,,,,
1970, Bloomington, Minnesota,,,, ,
1970, Elgin, Illinois,,,, ,
1970, McLean, Virginia,,,,,
1970, Cincinnati, Ohio,,,,,
1970, Madison, Wisconsin,,,,,
1970, Chicago, Illinois,,,, ,
1970,St. Louis,Missouri,,,, ,
1970, Southampton, Massachusetts,,,,,
1970, Syracuse, New York,,,,,
1970, Scotland, Connecticut,,,,,
1970, Cloquet, Minnesota,,,,,
1970, Rochester, Minnesota,,,,,
1970, Adams, Minnesota,,,,,
1970, Glastonbury, Connecticut,,,,,
1970, Bloomington, Minnesota,,,,,
1970, Oberlin, Ohio,,,,,
1970, Green Bay, Wisconsin,,,,,
1970, Rockford, Illinois,,,,,
1970,  St. Kitts, British West Indies,,,, ,
1970, Painted Post, New York,,,,,
1970, St. Louis,Missouri,,,, ,
1970,  Fortola Valley, California,,,,,
1970, Tulsa, Oklahoma,,,,,
1970, Wayzata, Minnesota,,,,,
1970, East Aurora, New York,,,,,
1970, Golden Valley, Minnesota,,,,,
1970, Edina, Minnesota,,,,,
1970, Cleveland Heights, Ohio,,,,,
1970, Minneapolis, Minnesota,,,,,
1970, Ralston, Nebraska,,,,,
1970, Crystal, Minnesota,,,,,
1970, Bloomington, Minnesota,,,, ,
1970, New York, New York,,,,,
1970,  Gary, Illinois,,,,,
1970, Los Altos, California,,,,,
1970, Des Moines, Iowa,,,,,
1970, White Bear Lake, Minnesota,,,,,
1970, Claymont, Delaware,,,,,
1970,  Washington,DC,,,,, 
1970, Kansas City, Missouri,,,,,
1970, Maumee, Ohio,,,,,
1970, Crystal, Minnesota,,,,, 
1970, Dubuque, Iowa,,,,,
1970, Webster, New York,,,,, 
1970,  Alliance, Ohio,,,,,
1970, Astoria, Oregon,,,,,
1970, West St. Pau,Minnesota,,,, ,
1970, Hinsdale, Illinois,,,,,
1970, Wauwatosa, Wisconsin,,,,,
1970, Pasadena, California,,,,,
1970, Lexington, Kentucky,,,,,
1970, LaCrosse, Wisconsin,,,,,
1970, Milwaukee, Wisconsin,,,,,
1970, Arlington, Virginia,,,,,
1970, Philadelphia, Pennsylvania,,,,,
1970, Pierre, South Dakota,,,, ,
1970, Crystal Lake, Illinois,,,,,
1970, Fargo, North Dakota,,,,,
1970, Wichita, Kansas,,,,,
1970, Dallas, Texas,,,,,
1970, Livingston, Montana,,,, ,
1970, Kenmore, New York,,,,,
1970, Vermillion, South Dakota,,,,,
1970, Gardena, California,,,,,
1970, Williamstown, Massachusetts,,,, ,
1970,St. Louis Park,Minnesota,,,,, 
1970, Excelsior, Minnesota,,,, ,
1970, New Rochelle, New York,,,,,
1970,  Scottsbluff, Nebraska,,,,,
1970, Greenwich, Connecticut,,,,,
1970, Glen Rock, New Jersey,,,,,
1970, Caracas, Venezuela,,,,,
1970, Durham, Connecticut,,,,,
1970, West Newton, Massachusetts,,,,,
1970,  Menlo Park, California,,,,,
1970, Tlnley Park, Illinois,,,,,
1970, Los Angeles, California,,,, ,
1970, Highland Park, Illinois,,,,,
1970, Newark, New Jersey,,,,,
1970, Duluth, Minnesota,,,,,
1970, Edina, Minnesota,,,,,
1970, Goodrich, Michigan,,,,,
1970,  Mercer Island, Washington,,,,,
1970, Alexandria, Virginia,,,,,
1970, Crystal, Minnesota,,,,,
1970, Maplewood, New Jersey,,,,,
1970, Springfield, Pennsylvania,,,,,
1970, Olympia Fields, Illinois,,,,,
1970, Modesto, California,,,,,
1970, Pepper Pike, Ohio,,,,,
1970, Newton, Kansas,,,,,
1970, Pittsburgh, Pennsylvania,,,,,
1970, Quindio, Columbia,,,,,
1970, St. Petersburg,Florida,,,,, 
1970, Glen Elljm, Illinois,,,, ,
1970, Winchester, Massachusetts,,,,,
1970, Edina, Minnesota,,,, ,
1970, Maquoketa, Iowa,,,,,
1970, Pasadena, California,,,,,
1970, Milwaukee, Wisconsin,,,,,
1970, Tulsa, Oklahoma,,,,,
1970, Lincolnwood, Illinois,,,,,
1970, Huron, South Dakota,,,,,
1970, Hammond, Indiana,,,, ,
1970,St. Paul,Minnesota,,,,, 
1970, Washington,DC,,,,,
1970,  Suffern, New York,,,, ,
1970, Newell, South Dakota,,,,,
1970, Yardley, Pennsylvania,,,,,
1970, Lexington, Kentucky,,,,,
1970, State College, Pennsylvania,,,,,
1970, Kirkwood, Missouri,,,,,
1970, Milwaukee, Wisconsin,,,,,
1970,  Minnetonka, Minnesota,,,,,
1970, Winona, Minnesota,,,,,
1970,  Deerfield, Illinois,,,,,
1970, Cincinnati, Ohio,,,,,
1970, Chicago, Illinois,,,,,
1970, Kendall Park, New Jersey,,,,,
1970, Walla Walla, Washington,,,,,
1970,St. Louis Park,Minnesota,,,,, 
1970,St. Louis Park,Minnesota,,,,, 
1970, Evanston, Illinois,,,,,
1970, Minneapolis, Minnesota,,,,,
1970,  Hamden, Connecticut,,,,,
1970, Short Hills, New Jersey,,,,,
1970, Barrington, Illinois,,,,,
1970, Prairie Village, Kansas,,,,,
1970, East Aurora, New York,,,,,
1970, Charleston, Illinois ,,,,,
1970, Lamberton, Minnesota,,,,,
1970, Flushing, New York,,,,,
1970,St. Louis Park,Minnesota,,,,, 
1970, Hollywood, California,,,,,
1970,St. Louis Park,Minnesota,,,,, 
1970, Wilmette, Illinois,,,,,
1970, Winona, Minnesota,,,,,
1970, Baltimore, Maryland,,,,,
1970, Honolulu, Hawaii,,,,,
1970, Darien, Connecticut,,,,,
1970, Hannibal, Missouri,,,,,
1970, Elmhurst, Illinois,,,,,
1970, Madison, South Dakota,,,,,
1970, Great Bend, Kansas,,,,,
1970, Quaker Hill, Connecticut,,,,,
1970, Downers Grove, Illinois,,,,,
1970, Galesburg, Illinois,,,,,
1970, Bemidjl, Minnesota,,,,,
1970, Pomona, California,,,,,
1970,St. Joseph,Missouri,,,, ,
1970, Seattle, Washington,,,, ,
1970, Oklahoma City, Oklahoma,,,,,
1970, Wichita, Kansas,,,,,
1970, Haddon Heights, New Jersey,,,,,
1970, Duluth, Minnesota,,,,,
1970, Hinsdale, Illinois,,,,,
1970,St. Paul,Minnesota,,,, ,
1970, Prairie du Chien, Wisconsin,,,,,
1970, Rochester, Minnesota,,,,,
1970, Alton, Illinois,,,,,
1970, Oak Park, Illinois,,,,,
1970, Chicago, Illinois,,,,,
1970, Ridgewood, New Jersey,,,,,
1970, Minnetonka, Minnesota,,,,,
1970, Portland, Oregon,,,,,
1970, Attleboro, Massachusetts,,,, ,
1970, Granville, Ohio,,,,,
1970, Houston, Texas,,,,,
1970, Santa Ana, California,,,,,
1970, Babbitt, Minnesota,,,,, 
1970, Tacoma, Washington,,,,,
1970, Neenah, Wisconsin,,,,,
1970, Edina, Minnesota,,,,,
1970, Newtonville, Massachusetts,,,,,
1970, Portland, Oregon,,,,,
1970, Adams, Minnesota,,,,,
1970, Kirkwood, Missouri,,,,,
1970, South Charleston, West Virginia,,,,,
1970, Sanford, Maine,,,,,
1970, Turner, Oregon,,,,,
1970, Oberlin, Ohio,,,,,
1970, Littleton, Colorado,,,, ,
1970, Oak Ridge, Tennessee,,,,,
1970, Glen Ellyn, Illinois,,,,,
1970, Chicago, Illinois,,,,,
1970, Chicago, Illinois,,,,,
1970,  Wilmette, Illinois,,,, ,
1970, Tucson, Arizona,,,,,
1970, Gaithersburg, Maryland,,,,,
1970, Houston, Texas,,,, ,
1970, Cleveland, Ohio,,,,,
1970, Cleveland, Ohio,,,,,
1970, East Hartford, Connecticut,,,,,
1970, Gainesville, Florida,,,,,
1970,St. Paul,Minnesota,,,,, 
1970, Northbrook, Illinois,,,,,
1970, Kalamazoo, Michigan,,,,,
1970, Richmond Heights, Missouri,,,,,
1970, Croton-on-Hudson, New York,,,,,
1970,St. Louis,Missouri,,,, ,
1970, Eau Claire, Wisconsin,,,,,
1970, Augusta, Georgia,,,,,
1970, East Longmeadow, Massachusetts,,,,,
1970, Winchester, Tennessee,,,,,
1970, Los Angeles, California,,,, ,
1970, Toledo, Ohio,,,,,
1970, Berkeley, California,,,,,
1970, Moylan, Pennsylvania,,,,,
1970, Skokie, Illinois,,,,,
1970, Northfield, Minnesota,,,,,
1970, Oakland, California,,,, ,
1970, Rio de Janeiro, Brazil,,,,,
1970, Akron, Ohio,,,, ,
1970, Newark, New Jersey,,,,,
1970, Chicago, Illinois,,,,,
1970, Urbana, Illinois,,,,,
1970, Cleveland, Ohio,,,,,
1970,  Lynnfield, Massachusetts,,,,,
1970, Solon, Ohio,,,,,
1970, Chicago, Illinois,,,, ,
1970,St. Paul,Minnesota,,,,,
1970, Flossmoor, Illinois,,,,,
1970, Mamaroneck, New York,,,,,
1970, Minneapolis, Minnesota,,,,,
1970, St. Louis, Missouri,,,,,
1970, White Bear Lake, Minnesota,,,,,
1970, New York, New York,,,,,
1970, Cedar Falls, Iowa,,,,,
1970, Meadowbrook, Pennsylvania,,,,,
1970, Schenectady, New York,,,,,
1970, Santa Fe, New Mexico,,,,,
1970, Cleveland, Ohio,,,,,
1970, Littleton, Colorado,,,,,
1970, Clayton, Missouri,,,,,
1970, Chicago, Illinois,,,,,
1970, Oakland, California,,,, ,
1970, Minneapolis, Minnesota,,,,, 
1970, Elkhart, Indiana,,,,,
1970, Amery, Wisconsin,,,,,
1970, Huntington Woods, Michigan,,,,,
1970, Hastings, Minnesota,,,, ,
1970, Northfield, Minnesota,,,,,
1970,St. Paul,Minnesota,,,, ,
1970, New York, New York,,,,,
1970, Chicago, Illinois,,,,,
1970, Northfield, Minnesota,,,, ,
1970, Bloomington, Minnesota,,,, ,
1970, Miami Shores, Florida,,,,,
1970, St. Johnsbury,Vermont,,,,, 
1970, Rumson, New Jersey,,,,,
1970, Park Forest, Illinois,,,,,
1970, Evanston, Illinois,,,,,
1970, Washington, DC,,,,,
1970, Pikesville, Maryland,,,,,
1970, Chicago, Illinois,,,,,
1970, Los Angeles, California,,,, ,
1970, Richmond, Virginia,,,,,
1970, Dawson, Minnesota,,,,,
1970, Wayzata, Minnesota,,,,,
1970, Arlington, Virginia,,,,,
1970, Shaker Heights, Ohio,,,,,
1970, LaGrange, Illinois,,,,,
1970, Los Angeles, California,,,,,
1970, Medford, Oregon,,,,,
1970, Chicago, Illinois,,,,,
1970, San Antonio, Texas,,,,,
1970, South Woodstock, Vermont,,,,,
1970, Alton, Illinois,,,,,
1970, Oberlin, Ohio,,,,,
1970, Beatrice, Alabama,,,,,
1970, Albuquerque, New Mexico,,,,,
1970, Littleton, Colorado,,,,,
1970, Hibbing, Minnesota,,,,,
1970, Silver Spring, Maryland,,,,,
1970, South St. Paul,Minnesota,,,,, 
1970, Wayzata, Minnesota,,,,,
